ref_no,t_start_n,t_duration_n,t_start_sec,t_duration_sec,noise,f_lowcut,f_highcut,f_order,max_corr,max_corr_n,max_corr_t,correct_corr,result
1,80068,36000,200.17000000000002,80068,,,,,0.05911057412390383,155103,387.7575,0.006149492827124865,False
2,157662,36000,394.15500000000003,157662,,,,,0.04855064885612184,94976,237.44,-0.01529754319616636,False
3,158438,36000,396.095,158438,,,,,0.07036396074390608,8493,21.2325,-0.06373363932654877,False
